Odour_presentation,Duration_sniffing,Source,Odour_type_presentation,Video_id,Genotype,Sex,Age,Filtered,Status
Odour1.3,2.3,Manual,Novel3,1643797340651_000000_20220202NWFC9ORF72h,2,Male,15,No,1
Odour2.1,7.5,Manual,Water1,1643797340651_000000_20220202NWFC9ORF72h,2,Male,15,No,0
Odour2.2,2.1,Manual,Water2,1643797340651_000000_20220202NWFC9ORF72h,2,Male,15,No,0
Odour2.3,3.5,Manual,Water3,1643797340651_000000_20220202NWFC9ORF72h,2,Male,15,No,0
Odour3.1,31.6,Manual,Familiar1,1643797340651_000000_20220202NWFC9ORF72h,2,Male,15,No,1
Odour3.2,13.6,Manual,Familiar2,1643797340651_000000_20220202NWFC9ORF72h,2,Male,15,No,1
Odour3.3,13.5,Manual,Familiar3,1643797340651_000000_20220202NWFC9ORF72h,2,Male,15,No,1
Odour1.1,22.3,Manual,Novel1,1643797455410_000000_20220202NFWC9ORF61a,4,Female,15,No,1
Odour1.2,8.1,Manual,Novel2,1643797455410_000000_20220202NFWC9ORF61a,4,Female,15,No,1
Odour1.3,10.3,Manual,Novel3,1643797455410_000000_20220202NFWC9ORF61a,4,Female,15,No,1
Odour2.1,14.8,Manual,Familiar1,1643797455410_000000_20220202NFWC9ORF61a,4,Female,15,No,1
Odour2.2,0,Manual,Familiar2,1643797455410_000000_20220202NFWC9ORF61a,4,Female,15,No,1
Odour2.3,7.4,Manual,Familiar3,1643797455410_000000_20220202NFWC9ORF61a,4,Female,15,No,1
Odour3.1,10.4,Manual,Water1,1643797455410_000000_20220202NFWC9ORF61a,4,Female,15,No,1
Odour3.2,4,Manual,Water2,1643797455410_000000_20220202NFWC9ORF61a,4,Female,15,No,1
Odour3.3,2,Manual,Water3,1643797455410_000000_20220202NFWC9ORF61a,4,Female,15,No,1
Odour1.1,33.2,Manual,Novel1,1643797482579_000000_20220202NFWC9ORF62a,4,Female,15,No,1
Odour1.2,17.7,Manual,Novel2,1643797482579_000000_20220202NFWC9ORF62a,4,Female,15,No,1
Odour1.3,14,Manual,Novel3,1643797482579_000000_20220202NFWC9ORF62a,4,Female,15,No,1
Odour2.1,12.5,Manual,Familiar1,1643797482579_000000_20220202NFWC9ORF62a,4,Female,15,No,1
Odour2.2,9.2,Manual,Familiar2,1643797482579_000000_20220202NFWC9ORF62a,4,Female,15,No,1
Odour2.3,5.3,Manual,Familiar3,1643797482579_000000_20220202NFWC9ORF62a,4,Female,15,No,1
Odour3.1,12,Manual,Water1,1643797482579_000000_20220202NFWC9ORF62a,4,Female,15,No,1
Odour3.2,9.2,Manual,Water2,1643797482579_000000_20220202NFWC9ORF62a,4,Female,15,No,1
Odour3.3,8.3,Manual,Water3,1643797482579_000000_20220202NFWC9ORF62a,4,Female,15,No,1
