Odour_presentation,Duration_sniffing,Odour_type_presentation,Video_id,Source,Genotype,Sex,Age,Filtered,Status
Odour1.3,15.7,Familiar3,1645010806237_000000_120220216FNWTDP4323g,Manual,G,Male,15,No,1
Odour2.1,21.4,Novel1,1645010806237_000000_120220216FNWTDP4323g,Manual,G,Male,15,No,1
Odour2.2,7.1,Novel2,1645010806237_000000_120220216FNWTDP4323g,Manual,G,Male,15,No,1
Odour2.3,0.7,Novel3,1645010806237_000000_120220216FNWTDP4323g,Manual,G,Male,15,No,1
Odour3.1,22.7,Water1,1645010806237_000000_120220216FNWTDP4323g,Manual,G,Male,15,No,1
Odour3.2,2,Water2,1645010806237_000000_120220216FNWTDP4323g,Manual,G,Male,15,No,1
Odour3.3,5.3,Water3,1645010806237_000000_120220216FNWTDP4323g,Manual,G,Male,15,No,1
Odour1.1,20,Familiar1,1645010829962_000000_120220216FNWTDP4333i,Manual,G,Male,15,No,1
Odour1.2,9.5,Familiar2,1645010829962_000000_120220216FNWTDP4333i,Manual,G,Male,15,No,1
Odour1.3,0.8,Familiar3,1645010829962_000000_120220216FNWTDP4333i,Manual,G,Male,15,No,1
Odour2.1,45.8,Novel1,1645010829962_000000_120220216FNWTDP4333i,Manual,G,Male,15,No,1
Odour2.2,33.8,Novel2,1645010829962_000000_120220216FNWTDP4333i,Manual,G,Male,15,No,1
Odour2.3,11.9,Novel3,1645010829962_000000_120220216FNWTDP4333i,Manual,G,Male,15,No,1
Odour3.1,7.1,Water1,1645010829962_000000_120220216FNWTDP4333i,Manual,G,Male,15,No,0
Odour3.2,0.4,Water2,1645010829962_000000_120220216FNWTDP4333i,Manual,G,Male,15,No,0
Odour3.3,1.4,Water3,1645010829962_000000_120220216FNWTDP4333i,Manual,G,Male,15,No,0
Odour1.1,33.7,Novel1,1645010914730_000000_120220216NWFTDP4323f,Manual,G,Male,15,No,1
Odour1.2,10.7,Novel2,1645010914730_000000_120220216NWFTDP4323f,Manual,G,Male,15,No,1
Odour1.3,12.9,Novel3,1645010914730_000000_120220216NWFTDP4323f,Manual,G,Male,15,No,1
Odour2.1,14.5,Water1,1645010914730_000000_120220216NWFTDP4323f,Manual,G,Male,15,No,1
Odour2.2,8,Water2,1645010914730_000000_120220216NWFTDP4323f,Manual,G,Male,15,No,1
Odour2.3,1.2,Water3,1645010914730_000000_120220216NWFTDP4323f,Manual,G,Male,15,No,1
Odour3.1,21.1,Familiar1,1645010914730_000000_120220216NWFTDP4323f,Manual,G,Male,15,No,1
Odour3.2,0.3,Familiar2,1645010914730_000000_120220216NWFTDP4323f,Manual,G,Male,15,No,1
Odour3.3,0,Familiar3,1645010914730_000000_120220216NWFTDP4323f,Manual,G,Male,15,No,1
