Odour_presentation,Duration_sniffing,Odour_type_presentation,Video_id,Source,Genotype,Sex,Odour_presentationordered,Genotypeordered,Odour_type_presentationordered,group,suffix
Odour1.1,19.5,Familiar1,1645005524338_000000_20220216FNWTDP4323b,Manual,H,Female,Odour1.1,H,Familiar1,Familiar,1
Odour1.2,0,Familiar2,1645005524338_000000_20220216FNWTDP4323b,Manual,H,Female,Odour1.2,H,Familiar2,Familiar,2
Odour1.3,0,Familiar3,1645005524338_000000_20220216FNWTDP4323b,Manual,H,Female,Odour1.3,H,Familiar3,Familiar,3
Odour2.1,19.6,Familiar1,1645005796620_000000_120220216WFNTDP4362d,Manual,G,Female,Odour2.1,G,Familiar1,Familiar,1
Odour2.2,0,Familiar2,1645005796620_000000_120220216WFNTDP4362d,Manual,G,Female,Odour2.2,G,Familiar2,Familiar,2
Odour2.3,4,Familiar3,1645005796620_000000_120220216WFNTDP4362d,Manual,G,Female,Odour2.3,G,Familiar3,Familiar,3
Odour3.1,17.7,Novel1,1645005796620_000000_120220216WFNTDP4362d,Manual,G,Female,Odour3.1,G,Novel1,Novel,1
Odour3.2,5.4,Novel2,1645005796620_000000_120220216WFNTDP4362d,Manual,G,Female,Odour3.2,G,Novel2,Novel,2
Odour3.3,3.1,Novel3,1645005796620_000000_120220216WFNTDP4362d,Manual,G,Female,Odour3.3,G,Novel3,Novel,3
Odour2.1,42.4,Familiar1,1645005820655_000000_120220216WFNTDP4382c,Manual,G,Female,Odour2.1,G,Familiar1,Familiar,1
Odour2.2,0,Familiar2,1645005820655_000000_120220216WFNTDP4382c,Manual,G,Female,Odour2.2,G,Familiar2,Familiar,2
Odour2.3,6,Familiar3,1645005820655_000000_120220216WFNTDP4382c,Manual,G,Female,Odour2.3,G,Familiar3,Familiar,3
Odour3.1,29.2,Novel1,1645005820655_000000_120220216WFNTDP4382c,Manual,G,Female,Odour3.1,G,Novel1,Novel,1
Odour3.2,0,Novel2,1645005820655_000000_120220216WFNTDP4382c,Manual,G,Female,Odour3.2,G,Novel2,Novel,2
Odour3.3,0,Novel3,1645005820655_000000_120220216WFNTDP4382c,Manual,G,Female,Odour3.3,G,Novel3,Novel,3
Odour1.1,11.2,Familiar1,1645010806237_000000_120220216FNWTDP4323g,Manual,G,Male,Odour1.1,G,Familiar1,Familiar,1
Odour1.2,22.9,Familiar2,1645010806237_000000_120220216FNWTDP4323g,Manual,G,Male,Odour1.2,G,Familiar2,Familiar,2
