Odour_presentation,Duration_sniffing,Odour_type_presentation,mouse_id,Source,Genotype,Sex,Odour_presentationordered,Genotypeordered,Odour_type_presentationordered,group,suffix
Odour1.1,39.3,Water1,1671623805350_000000_20221221WFNC9ORF51c,Manual,4,Male,Odour1.1,4,Water1,Water,1
Odour1.2,50.1,Water2,1671623805350_000000_20221221WFNC9ORF51c,Manual,4,Male,Odour1.2,4,Water2,Water,2
Odour1.3,62.4,Water3,1671623805350_000000_20221221WFNC9ORF51c,Manual,4,Male,Odour1.3,4,Water3,Water,3
Odour2.1,24.6,Familiar1,1671623805350_000000_20221221WFNC9ORF51c,Manual,4,Male,Odour2.1,4,Familiar1,Familiar,1
Odour2.2,20,Familiar2,1671623805350_000000_20221221WFNC9ORF51c,Manual,4,Male,Odour2.2,4,Familiar2,Familiar,2
Odour2.3,19.4,Familiar3,1671623805350_000000_20221221WFNC9ORF51c,Manual,4,Male,Odour2.3,4,Familiar3,Familiar,3
Odour3.1,42.8,Novel1,1671623805350_000000_20221221WFNC9ORF51c,Manual,4,Male,Odour3.1,4,Novel1,Novel,1
Odour3.2,62.1,Novel2,1671623805350_000000_20221221WFNC9ORF51c,Manual,4,Male,Odour3.2,4,Novel2,Novel,2
Odour3.3,18.8,Novel3,1671623805350_000000_20221221WFNC9ORF51c,Manual,4,Male,Odour3.3,4,Novel3,Novel,3
Odour2.1,18.7,Familiar1,1671623827407_000000_20221221WFNC9ORF51d,Manual,4,Male,Odour2.1,4,Familiar1,Familiar,1
Odour2.2,9.1,Familiar2,1671623827407_000000_20221221WFNC9ORF51d,Manual,4,Male,Odour2.2,4,Familiar2,Familiar,2
Odour2.3,10.9,Familiar3,1671623827407_000000_20221221WFNC9ORF51d,Manual,4,Male,Odour2.3,4,Familiar3,Familiar,3
Odour3.1,19.2,Novel1,1671623827407_000000_20221221WFNC9ORF51d,Manual,4,Male,Odour3.1,4,Novel1,Novel,1
Odour3.2,1.7,Novel2,1671623827407_000000_20221221WFNC9ORF51d,Manual,4,Male,Odour3.2,4,Novel2,Novel,2
Odour3.3,17.7,Novel3,1671623827407_000000_20221221WFNC9ORF51d,Manual,4,Male,Odour3.3,4,Novel3,Novel,3
Odour1.1,19.2,Novel1,1675941075620_000000_20230209NFWC9O71d,Manual,2,Female,Odour1.1,2,Novel1,Novel,1
Odour1.2,2.7,Novel2,1675941075620_000000_20230209NFWC9O71d,Manual,2,Female,Odour1.2,2,Novel2,Novel,2
Odour1.3,0.7,Novel3,1675941075620_000000_20230209NFWC9O71d,Manual,2,Female,Odour1.3,2,Novel3,Novel,3
Odour2.1,14.6,Familiar1,1675941075620_000000_20230209NFWC9O71d,Manual,2,Female,Odour2.1,2,Familiar1,Familiar,1
Odour2.2,13.4,Familiar2,1675941075620_000000_20230209NFWC9O71d,Manual,2,Female,Odour2.2,2,Familiar2,Familiar,2
Odour2.3,5.6,Familiar3,1675941075620_000000_20230209NFWC9O71d,Manual,2,Female,Odour2.3,2,Familiar3,Familiar,3
Odour3.1,16.7,Water1,1675941075620_000000_20230209NFWC9O71d,Manual,2,Female,Odour3.1,2,Water1,Water,1
Odour3.2,1,Water2,1675941075620_000000_20230209NFWC9O71d,Manual,2,Female,Odour3.2,2,Water2,Water,2
Odour3.3,0,Water3,1675941075620_000000_20230209NFWC9O71d,Manual,2,Female,Odour3.3,2,Water3,Water,3
Odour1.1,20.2,Familiar1,1675941125084_000000_20230209FNWC9O61a,Manual,4,Female,Odour1.1,4,Familiar1,Familiar,1
Odour1.2,5.2,Familiar2,1675941125084_000000_20230209FNWC9O61a,Manual,4,Female,Odour1.2,4,Familiar2,Familiar,2
Odour1.3,7.4,Familiar3,1675941125084_000000_20230209FNWC9O61a,Manual,4,Female,Odour1.3,4,Familiar3,Familiar,3
Odour2.1,28,Novel1,1675941125084_000000_20230209FNWC9O61a,Manual,4,Female,Odour2.1,4,Novel1,Novel,1
Odour2.2,7.9,Novel2,1675941125084_000000_20230209FNWC9O61a,Manual,4,Female,Odour2.2,4,Novel2,Novel,2
Odour2.3,17.7,Novel3,1675941125084_000000_20230209FNWC9O61a,Manual,4,Female,Odour2.3,4,Novel3,Novel,3
Odour3.1,11.7,Water1,1675941125084_000000_20230209FNWC9O61a,Manual,4,Female,Odour3.1,4,Water1,Water,1
Odour3.2,1.7,Water2,1675941125084_000000_20230209FNWC9O61a,Manual,4,Female,Odour3.2,4,Water2,Water,2
Odour3.3,7.7,Water3,1675941125084_000000_20230209FNWC9O61a,Manual,4,Female,Odour3.3,4,Water3,Water,3
Odour1.1,29.5,Familiar1,1675943892048_000000_20230209FNWC9O62c,Manual,4,Male,Odour1.1,4,Familiar1,Familiar,1
Odour1.2,25.1,Familiar2,1675943892048_000000_20230209FNWC9O62c,Manual,4,Male,Odour1.2,4,Familiar2,Familiar,2
Odour1.3,8.2,Familiar3,1675943892048_000000_20230209FNWC9O62c,Manual,4,Male,Odour1.3,4,Familiar3,Familiar,3
Odour2.1,35.7,Novel1,1675943892048_000000_20230209FNWC9O62c,Manual,4,Male,Odour2.1,4,Novel1,Novel,1
