Video,Bin,Sum_Value
filtered_1643710413634_000000_20220201NWFC9ORF62fcropped,9,18.36
filtered_1643710473231_000000_20220201FNWC9ORF41bcropped,1,0.0
filtered_1643710473231_000000_20220201FNWC9ORF41bcropped,2,0.0
filtered_1643710473231_000000_20220201FNWC9ORF41bcropped,3,20.64
filtered_1643710473231_000000_20220201FNWC9ORF41bcropped,4,19.36
filtered_1643710473231_000000_20220201FNWC9ORF41bcropped,5,4.72
filtered_1643710473231_000000_20220201FNWC9ORF41bcropped,6,1.4
filtered_1643710473231_000000_20220201FNWC9ORF41bcropped,7,5.36
filtered_1643710473231_000000_20220201FNWC9ORF41bcropped,8,0.56
filtered_1643710473231_000000_20220201FNWC9ORF41bcropped,9,0.0
filtered_1643715065534_000000_20220201FNWC9ORF62ccropped,1,25.16
filtered_1643715065534_000000_20220201FNWC9ORF62ccropped,2,3.7600000000000002
filtered_1643715065534_000000_20220201FNWC9ORF62ccropped,3,2.0
filtered_1643715065534_000000_20220201FNWC9ORF62ccropped,4,4.880000000000001
filtered_1643715065534_000000_20220201FNWC9ORF62ccropped,5,13.76
filtered_1643715065534_000000_20220201FNWC9ORF62ccropped,6,0.0
filtered_1643715065534_000000_20220201FNWC9ORF62ccropped,7,7.720000000000001
filtered_1643715065534_000000_20220201FNWC9ORF62ccropped,8,0.0
filtered_1643715065534_000000_20220201FNWC9ORF62ccropped,9,0.0
filtered_1643715125135_000000_20220201FNWC9ORF81bcropped,1,23.6
filtered_1643715125135_000000_20220201FNWC9ORF81bcropped,2,23.72
filtered_1643715125135_000000_20220201FNWC9ORF81bcropped,3,10.08
filtered_1643715125135_000000_20220201FNWC9ORF81bcropped,4,19.04
filtered_1643715125135_000000_20220201FNWC9ORF81bcropped,5,27.48
filtered_1643715125135_000000_20220201FNWC9ORF81bcropped,6,17.72
filtered_1643715125135_000000_20220201FNWC9ORF81bcropped,7,17.799999999999997
filtered_1643715125135_000000_20220201FNWC9ORF81bcropped,8,0.0
filtered_1643715125135_000000_20220201FNWC9ORF81bcropped,9,0.64
filtered_1643715240372_000000_20220201NFWC9ORF72ccropped,1,31.040000000000003
filtered_1643715240372_000000_20220201NFWC9ORF72ccropped,2,8.84
filtered_1643715240372_000000_20220201NFWC9ORF72ccropped,3,0.48000000000000004
filtered_1643715240372_000000_20220201NFWC9ORF72ccropped,4,0.52
filtered_1643715240372_000000_20220201NFWC9ORF72ccropped,5,0.0
filtered_1643715240372_000000_20220201NFWC9ORF72ccropped,6,0.0
filtered_1643715240372_000000_20220201NFWC9ORF72ccropped,7,17.240000000000002
filtered_1643715240372_000000_20220201NFWC9ORF72ccropped,8,0.0
filtered_1643715240372_000000_20220201NFWC9ORF72ccropped,9,0.0
filtered_1643715268189_000000_20220201NFWC9ORF72eshortcropped,1,20.24
filtered_1643715268189_000000_20220201NFWC9ORF72eshortcropped,2,4.6
filtered_1643715268189_000000_20220201NFWC9ORF72eshortcropped,3,15.6
filtered_1643715268189_000000_20220201NFWC9ORF72eshortcropped,4,60.919999999999995
filtered_1643715268189_000000_20220201NFWC9ORF72eshortcropped,5,4.800000000000001
filtered_1643715268189_000000_20220201NFWC9ORF72eshortcropped,6,1.48
filtered_1643715268189_000000_20220201NFWC9ORF72eshortcropped,7,19.4
filtered_1643715268189_000000_20220201NFWC9ORF72eshortcropped,8,3.0
filtered_1643715268189_000000_20220201NFWC9ORF72eshortcropped,9,0.0
filtered_1643715291621_000000_20220201NFWC9ORF72gcropped,1,18.36
filtered_1643715291621_000000_20220201NFWC9ORF72gcropped,2,39.64
filtered_1643715291621_000000_20220201NFWC9ORF72gcropped,3,9.32
filtered_1643715291621_000000_20220201NFWC9ORF72gcropped,4,13.48
filtered_1643715291621_000000_20220201NFWC9ORF72gcropped,5,14.36
filtered_1643715291621_000000_20220201NFWC9ORF72gcropped,6,12.32
filtered_1643715291621_000000_20220201NFWC9ORF72gcropped,7,12.919999999999998
filtered_1643715291621_000000_20220201NFWC9ORF72gcropped,8,5.96
filtered_1643715291621_000000_20220201NFWC9ORF72gcropped,9,5.84
filtered_1643794722468_000000_20220202WFNC9ORF71dcropped,1,8.8
filtered_1643794722468_000000_20220202WFNC9ORF71dcropped,2,0.0
filtered_1643794722468_000000_20220202WFNC9ORF71dcropped,3,0.0
filtered_1643794722468_000000_20220202WFNC9ORF71dcropped,4,37.92
filtered_1643794722468_000000_20220202WFNC9ORF71dcropped,5,0.0
filtered_1643794722468_000000_20220202WFNC9ORF71dcropped,6,17.36
filtered_1643794722468_000000_20220202WFNC9ORF71dcropped,7,0.0
filtered_1643794722468_000000_20220202WFNC9ORF71dcropped,8,12.36
filtered_1643794722468_000000_20220202WFNC9ORF71dcropped,9,12.76
filtered_1643794787463_000000_20220202WFNC9ORF42acropped,1,9.84
filtered_1643794787463_000000_20220202WFNC9ORF42acropped,2,2.7600000000000002
filtered_1643794787463_000000_20220202WFNC9ORF42acropped,3,1.96
filtered_1643794787463_000000_20220202WFNC9ORF42acropped,4,17.4
filtered_1643794787463_000000_20220202WFNC9ORF42acropped,5,12.719999999999999
filtered_1643794787463_000000_20220202WFNC9ORF42acropped,6,3.8400000000000003
filtered_1643794787463_000000_20220202WFNC9ORF42acropped,7,37.800000000000004
filtered_1643794787463_000000_20220202WFNC9ORF42acropped,8,21.439999999999998
filtered_1643794787463_000000_20220202WFNC9ORF42acropped,9,7.4399999999999995
filtered_1643794843840_000000_20220202WFNC9ORF62ccropped,1,11.04
filtered_1643794843840_000000_20220202WFNC9ORF62ccropped,2,20.2
filtered_1643794843840_000000_20220202WFNC9ORF62ccropped,3,0.56
filtered_1643794843840_000000_20220202WFNC9ORF62ccropped,4,14.240000000000002
filtered_1643794843840_000000_20220202WFNC9ORF62ccropped,5,13.76
filtered_1643794843840_000000_20220202WFNC9ORF62ccropped,6,0.0
filtered_1643794843840_000000_20220202WFNC9ORF62ccropped,7,25.759999999999998
filtered_1643794843840_000000_20220202WFNC9ORF62ccropped,8,17.400000000000002
filtered_1643794843840_000000_20220202WFNC9ORF62ccropped,9,5.92
filtered_1643797213673_000000_20220202NWFC9ORF61fcropped,1,34.760000000000005
filtered_1643797213673_000000_20220202NWFC9ORF61fcropped,2,6.040000000000001
filtered_1643797213673_000000_20220202NWFC9ORF61fcropped,3,5.4
filtered_1643797213673_000000_20220202NWFC9ORF61fcropped,4,8.84
filtered_1643797213673_000000_20220202NWFC9ORF61fcropped,5,2.08
filtered_1643797213673_000000_20220202NWFC9ORF61fcropped,6,0.0
filtered_1643797213673_000000_20220202NWFC9ORF61fcropped,7,24.56
filtered_1643797213673_000000_20220202NWFC9ORF61fcropped,8,2.2
filtered_1643797213673_000000_20220202NWFC9ORF61fcropped,9,0.0
filtered_1643797340651_000000_20220202NWFC9ORF72hcropped,1,25.040000000000003
filtered_1643797340651_000000_20220202NWFC9ORF72hcropped,2,7.5600000000000005
filtered_1643797340651_000000_20220202NWFC9ORF72hcropped,3,2.72
filtered_1643797340651_000000_20220202NWFC9ORF72hcropped,4,6.6000000000000005
filtered_1643797340651_000000_20220202NWFC9ORF72hcropped,5,0.24
filtered_1643797340651_000000_20220202NWFC9ORF72hcropped,6,1.6800000000000002
filtered_1643797340651_000000_20220202NWFC9ORF72hcropped,7,35.36
filtered_1643797340651_000000_20220202NWFC9ORF72hcropped,8,11.96
filtered_1643797340651_000000_20220202NWFC9ORF72hcropped,9,14.52
filtered_1643797455410_000000_20220202NFWC9ORF61acropped,1,23.759999999999998
filtered_1643797455410_000000_20220202NFWC9ORF61acropped,2,9.52
filtered_1643797455410_000000_20220202NFWC9ORF61acropped,3,8.44
filtered_1643797455410_000000_20220202NFWC9ORF61acropped,4,16.92
filtered_1643797455410_000000_20220202NFWC9ORF61acropped,5,0.0
filtered_1643797455410_000000_20220202NFWC9ORF61acropped,6,5.52
filtered_1643797455410_000000_20220202NFWC9ORF61acropped,7,7.199999999999999
filtered_1643797455410_000000_20220202NFWC9ORF61acropped,8,4.76
filtered_1643797455410_000000_20220202NFWC9ORF61acropped,9,1.92
filtered_1643797482579_000000_20220202NFWC9ORF62acropped,1,26.64
filtered_1643797482579_000000_20220202NFWC9ORF62acropped,2,11.6
filtered_1643797482579_000000_20220202NFWC9ORF62acropped,3,11.44
filtered_1643797482579_000000_20220202NFWC9ORF62acropped,4,10.32
filtered_1643797482579_000000_20220202NFWC9ORF62acropped,5,9.68
filtered_1643797482579_000000_20220202NFWC9ORF62acropped,6,5.680000000000001
filtered_1643797482579_000000_20220202NFWC9ORF62acropped,7,10.28
filtered_1643797482579_000000_20220202NFWC9ORF62acropped,8,9.32
filtered_1643797482579_000000_20220202NFWC9ORF62acropped,9,5.0
filtered_1645002557994_000000_20220216NWFTDP4312bcropped,1,36.760000000000005
filtered_1645002557994_000000_20220216NWFTDP4312bcropped,2,44.199999999999996
filtered_1645002557994_000000_20220216NWFTDP4312bcropped,3,32.92
filtered_1645002557994_000000_20220216NWFTDP4312bcropped,4,35.879999999999995
filtered_1645002557994_000000_20220216NWFTDP4312bcropped,5,28.0
filtered_1645002557994_000000_20220216NWFTDP4312bcropped,6,6.279999999999999
filtered_1645002557994_000000_20220216NWFTDP4312bcropped,7,57.239999999999995
filtered_1645002557994_000000_20220216NWFTDP4312bcropped,8,29.68
filtered_1645002557994_000000_20220216NWFTDP4312bcropped,9,27.92
filtered_1645002629680_000000_20220216NWFTDP4323ccropped,1,43.64
